speaker,text,start,end
SPEAKER_00," In this scenario, a client meets with a domestic violence advocate for a local agency that  provides low-cost to no-cost counseling for individuals and their families.",2.707,11.416
SPEAKER_00,This is the  fourth time that they have met.,11.998,14.326
SPEAKER_00,The client has been in her relationship for two years.,15.048,18.378
SPEAKER_00, She does not have children.,19.12,20.385
SPEAKER_00,The violence has taken all shapes and forms.,21.107,23.496
SPEAKER_00,She wants to break  up with her partner and is not quite sure how to do so.,23.897,27.871
SPEAKER_00,"She does not fear for her life if she  breaks up, but she is concerned that her partner would make problems for her at work and in her  community.",28.413,36.281
SPEAKER_00,Hi Liv.,36.301,43.39
SPEAKER_01,Hi.,43.41,44.291
SPEAKER_00,Welcome back.,44.371,45.072
SPEAKER_01,Thank you.,45.372,45.853
SPEAKER_00,How are you?,46.153,46.754
SPEAKER_01,I'm feeling pretty intense.,46.774,50.279
SPEAKER_01,Things  have kind of gone downhill since I was here last time.,51.3,54.21
SPEAKER_00,"Oh, I'm sorry to hear that.",54.23,55.454
SPEAKER_01,Yeah.,55.474,55.956
SPEAKER_00,"I know  last time we talked, you and Kelly had just gotten engaged and you were rather excited about plans that you had for your life.",55.976,68.167
SPEAKER_00,So tell me what has happened?,68.307,69.53
SPEAKER_00,What has shifted?,69.55,71.494
SPEAKER_01,"I think that we've  just sort of fallen back, you know?",71.514,76.586
SPEAKER_01,"I was really hopeful that with the proposal also came the promise to  work on the relationship and work on her anger and work on, you know, being the couple that we hope to be.",76.887,92.68
SPEAKER_01, And that's not happening.,93.763,96.531
SPEAKER_01,It's not happening.,96.551,97.514
SPEAKER_01,We're right back to where we were.,97.554,98.757
SPEAKER_00,I'm sorry to hear  that.,98.878,100.061
SPEAKER_00,I know you were excited.,100.181,102.367
SPEAKER_00,You were feeling hopeful for change and I don't get that same  sense from you right now.,102.408,108.184
SPEAKER_00,"In fact, it seems like you're feeling pretty sad and maybe even a little hopeless about the situation.",108.244,115.686
SPEAKER_00,"Well, how can I be helpful and supportive and useful to you right  now?",116.107,122.381
SPEAKER_01,"I just, I don't know how to make change.",124.106,126.272
SPEAKER_01,I don't know how to end this.,126.312,127.295
SPEAKER_01,I don't know how to  get out.,127.315,129.561
SPEAKER_01,"I don't know how to, I just, I can't do it anymore.",129.602,133.034
SPEAKER_00,So you've decided to make a change.,133.535,134.9
SPEAKER_00," And in fact, it sounds like you've decided to leave the relationship.",134.9,138.353
SPEAKER_01,I don't know.,139.276,139.758
SPEAKER_01,"I mean,  I want to, I don't want to be in it, but I don't, I don't know how to get to not being in it.",139.778,149.038
SPEAKER_00,So  you're thinking about it.,149.92,151.105
SPEAKER_00,"It's not that you've committed or decided that you absolutely want  to leave the relationship, but correct me if I'm wrong.",151.165,157.131
SPEAKER_00,What you're saying is you want to make a  change and you don't want this relationship as it is right now.,157.171,164.894
SPEAKER_00,"What, what are you, when you think  about changing, what, what ideas, I mean, I guess you mentioned leaving.",165.616,171.473
SPEAKER_00,What other possibilities  or thoughts have you had about change and what that might look like?,172.756,178.051
SPEAKER_01,I don't know.,180.117,180.638
SPEAKER_01,It just feels  so overwhelming when I think about it.,180.658,183.124
SPEAKER_01,"I just, I can't seem to find a way out of it.",183.224,188.458
SPEAKER_01,"And that feels,  feels ethical.",188.598,191.967
SPEAKER_01,"It feels like it, you know, I don't want to hurt her.",191.987,194.514
SPEAKER_01,I just don't want to be  in this relationship anymore.,194.534,197.985
SPEAKER_00,Why don't you want to be in this relationship anymore?,198.828,200.855
SPEAKER_01,It's not  healthy.,201.979,202.742
SPEAKER_01,It's I'm not happy.,202.762,204.247
SPEAKER_01,"I can't imagine that she's happy, even though she says she is.",204.267,207.096
SPEAKER_01,"It's,  you know, we're fighting constantly.",207.117,210.828
SPEAKER_01,I feel like I'm walking on eggshells with her.,210.848,213.116
SPEAKER_01,She's  overprotective.,213.136,215.545
SPEAKER_01,"She, yeah, it just, it doesn't feel right.",215.665,218.855
SPEAKER_01,It just doesn't feel right.,218.935,219.919
SPEAKER_00,It doesn't  feel right.,219.979,221.001
SPEAKER_00,Yeah.,221.021,221.822
SPEAKER_00,"And so, so what would feel right?",222.784,227.07
SPEAKER_01,"Oh, that's a huge question.",229.173,231.697
SPEAKER_01,"I just don't,  I'm not sure.",231.717,237.928
SPEAKER_01,Just this isn't right.,238.169,239.11
SPEAKER_00,So the way things are is not right.,240.533,242.677
SPEAKER_00,It's not working.,242.918,243.839
SPEAKER_00,You  don't feel supported.,243.859,245.305
SPEAKER_00,"This isn't the kind of relationship that, that you want or that you  had hoped that it would be.",245.365,250.346
SPEAKER_01,Yeah.,250.366,250.446
SPEAKER_01,"I mean, when we started, it was, it was lovely.",250.566,253.498
SPEAKER_01,She was amazing.,253.638,254.08
SPEAKER_01, She was this super caring and thoughtful woman.,254.621,257.369
SPEAKER_01,"And, you know, we were lots of same interests,  same friends.",257.489,262.743
SPEAKER_01,"It's, you know, she was just fantastic.",262.843,265.612
SPEAKER_01,"And I don't know, I don't know where  that changed.",265.672,268.962
SPEAKER_01,"And I feel like we did this on again, off again stuff.",269.023,271.331
SPEAKER_01,"And it was just, it just seems  to like, it's just not right.",271.411,275.706
SPEAKER_01,"And I know, I know I don't deserve to be treated this way.",275.726,279.477
SPEAKER_01,I know that  I'm better than that.,279.497,281.522
SPEAKER_00,You really value your self and your well being and in your spirit.,283.465,288.192
SPEAKER_00,And it  sounds like you don't feel like you're taking good care of yourself by staying in this relationship.,288.212,299.54
SPEAKER_00," And even though things started out well, they haven't turned out to be the kind of relationship  that you want for yourself.",299.821,309.887
SPEAKER_01,"No, but you know, but she's lovely.",309.907,314.276
SPEAKER_01,And I love her.,314.336,315.418
